Year,VALUE,CommodityName,CommodityCode,IsMainCommodity,ParentCommodity
2016,100.1,Carpets and other floor coverings,05.1.2,0,05
2016,95.0,Household textiles,05.2,0,05
2016,97.5,Household appliances,05.3,0,05
2016,97.4,Major household appliances whether electric or not and small electric household appliances,05.3.1_2,0,05
2016,100.0,Repair of household appliances,05.3.3,0,05
2016,97.8,"Glassware, tableware and household utensils",05.4,0,05
2016,96.7,Tools and equipment for house and garden,05.5,0,05
2016,98.5,Goods and services for routine household maintenance,05.6,0,05
2016,95.4,Non-durable household goods,05.6.1,0,05
2016,102.6,Domestic services and household services,05.6.2,0,05
2016,100.7,Health,06,1,00
2016,100.0,"Medical products, appliances and equipment",06.1,0,06
2016,99.9,Pharmaceutical products,06.1.1,0,06
2016,100.4,"Other medical products, therapeutic appliances and equipment",06.1.2_3,0,06
2016,102.2,Out-patient services,06.2,0,06
2016,102.7,Medical services and paramedical services,06.2.1_3,0,06
2016,101.1,Dental services,06.2.2,0,06
2016,100.1,Hospital services,06.3,0,06
2016,96.5,Transport,07,1,00
2016,96.6,Purchase of vehicles,07.1,0,07
2016,96.6,Motor cars,07.1.1,0,07
2016,97.9,"Motor cycles, bicycles and animal drawn vehicles",07.1.2_3_4,0,07
2016,94.8,Operation of personal transport equipment,07.2,0,07
2016,98.6,Spare parts and accessories for personal transport equipment,07.2.1,0,07
2016,92.8,Fuels and lubricants for personal transport equipment,07.2.2,0,07
2016,100.2,Maintenance and repair of personal transport equipment,07.2.3,0,07
2016,99.2,Other services in respect of personal transport equipment,07.2.4,0,07
2016,100.2,Transport services,07.3,0,07
2016,102.1,Passenger transport by railway,07.3.1,0,07
2016,100.9,Passenger transport by road,07.3.2,0,07
2016,93.7,Passenger transport by air,07.3.3,0,07
2016,100.5,Passenger transport by sea and inland waterway,07.3.4,0,07
2016,100.2,Combined passenger transport,07.3.5,0,07
2016,102.2,Other purchased transport services,07.3.6,0,07
2016,98.8,Communications,08,1,00
2016,102.9,Postal services,08.1,0,08
2016,98.6,Telephone and telefax equipment and services,08.2_3,0,08
2016,98.9,Recreation and culture,09,1,00
2016,89.9,"Audio-visual, photographic and information processing equipment",09.1,0,09
2016,92.4,"Equipment for the reception, recording and reproduction of sound and picture",09.1.1,0,09
2016,74.0,Information processing equipment,09.1.3,0,09
2016,93.4,Recording media,09.1.4,0,09
2016,100.7,"Repair of audio-visual, photographic and information processing equipment",09.1.5,0,09
2016,102.8,Other major durables for recreation and culture,09.2,0,09
2016,102.8,Major durables for indoor and outdoor recreation including musical instruments,09.2.1_2,0,09
2016,94.0,"Other recreational items and equipment, gardens and pets",09.3,0,09
2016,92.3,"Games, toys and hobbies",09.3.1,0,09
2016,93.1,"Equipment for sport, camping and open-air recreation",09.3.2,0,09
2016,91.8,"Gardens, plants and flowers",09.3.3,0,09
2016,101.6,Pets and related products; veterinary and other services for pets,09.3.4_5,0,09
2016,101.7,Recreational and cultural services,09.4,0,09
2016,103.0,Recreational and sporting services,09.4.1,0,09
2016,101.1,Cultural services,09.4.2,0,09
2016,100.7,"Newspapers, books and stationery",09.5,0,09
2016,100.5,Books,09.5.1,0,09
2016,100.8,Newspapers and periodicals,09.5.2,0,09
2016,101.0,Miscellaneous printed matter; stationery and drawing materials,09.5.3_4,0,09
2016,101.8,Package holidays,09.6,0,09
2016,103.3,Education,10,1,00
2016,102.0,Restaurants and hotels,11,1,00
2016,101.0,Catering services,11.1,0,11
2016,101.1,"Restaurants, cafes and the like",11.1.1,0,11
2016,100.9,Canteens,11.1.2,0,11
2016,109.1,Accommodation services,11.2,0,11
2016,100.5,Miscellaneous goods and services,12,1,00
2016,97.4,Personal care,12.1,0,12
2016,100.6,Hairdressing salons and personal grooming establishments,12.1.1,0,12
2016,96.2,"Electrical appliances for personal care; other appliances, articles and products for personal care",12.1.2_3,0,12
2016,93.8,Personal effects n.e.c.,12.3,0,12
2016,98.5,"Jewellery, clocks and watches",12.3.1,0,12
2016,90.6,Other personal effects,12.3.2,0,12
2016,102.0,Social protection,12.4,0,12
2016,114.3,Insurance,12.5,0,12
2016,108.9,Insurance connected with the dwelling,12.5.2,0,12
2016,105.3,Insurance connected with health,12.5.3,0,12
2016,124.6,Insurance connected with transport,12.5.4,0,12
2016,101.1,Financial services n.e.c.,12.6,0,12
2016,100.6,Other services n.e.c.,12.7,0,12
2017,100.1,All-items HICP,00,1,00
2017,96.6,Food and non-alcoholic beverages,01,1,00
2017,96.6,Food,01.1,0,01
2017,95.2,Bread and cereals,01.1.1,0,01
2017,96.4,Meat,01.1.2,0,01
2017,95.9,Fish and seafood,01.1.3,0,01
2017,96.4,"Milk, cheese and eggs",01.1.4,0,01
2017,103.2,Oils and fats,01.1.5,0,01
2017,100.3,Fruit,01.1.6,0,01
2017,99.0,Vegetables,01.1.7,0,01
2017,93.0,"Sugar, jam, honey, chocolate and confectionery",01.1.8,0,01
2017,97.3,Food products n.e.c.,01.1.9,0,01
2017,96.4,Non-alcoholic beverages,01.2,0,01
2017,96.7,"Coffee, tea and cocoa",01.2.1,0,01
2017,96.3,"Mineral waters, soft drinks, fruit and vegetable juices",01.2.2,0,01
2017,102.2,"Alcoholic beverages, tobacco and narcotics",02,1,00
2017,92.8,Alcoholic beverages,02.1,0,02
2017,99.2,Spirits,02.1.1,0,02
2017,86.8,Wine,02.1.2,0,02
2017,98.7,Beer,02.1.3,0,02
2017,113.6,Tobacco,02.2,0,02
2017,93.4,Clothing and footwear,03,1,00
2017,93.6,Clothing,03.1,0,03
2017,93.3,Garments,03.1.2,0,03
2017,95.9,Other articles of clothing and clothing accessories,03.1.3,0,03
2017,102.1,"Cleaning, repair and hire of clothing",03.1.4,0,03
2017,92.2,Footwear,03.2,0,03
2017,104.5,"Housing, water, electricity, gas and other fuels",04,1,00
2017,115.9,Actual rentals for housing,04.1,0,04
2017,100.0,Maintenance and repair of the dwelling,04.3,0,04
2017,95.1,Materials for the maintenance and repair of the dwelling,04.3.1,0,04
2017,102.9,Services for the maintenance and repair of the dwelling,04.3.2,0,04
2017,70.9,Water supply and miscellaneous services relating to the dwelling,04.4,0,04
2017,101.2,Refuse collection,04.4.2,0,04
2017,103.1,Other services relating to the dwelling n.e.c.,04.4.4,0,04
2017,95.9,"Electricity, gas and other fuels",04.5,0,04
2017,95.5,Electricity,04.5.1,0,04
2017,95.5,Gas,04.5.2,0,04
2017,96.6,Liquid fuels,04.5.3,0,04
2017,99.3,Solid fuels,04.5.4,0,04
2017,92.7,"Furnishings, household equipment and routine household maintenance",05,1,00
2017,86.5,"Furniture and furnishings, carpets and other floor coverings",05.1,0,05
2017,86.5,Furniture and furnishings,05.1.1,0,05
2017,100.1,Carpets and other floor coverings,05.1.2,0,05
2017,87.4,Household textiles,05.2,0,05
2017,93.9,Household appliances,05.3,0,05
2017,93.6,Major household appliances whether electric or not and small electric household appliances,05.3.1_2,0,05
2017,100.4,Repair of household appliances,05.3.3,0,05
2017,92.0,"Glassware, tableware and household utensils",05.4,0,05
2017,93.1,Tools and equipment for house and garden,05.5,0,05
2017,97.6,Goods and services for routine household maintenance,05.6,0,05
2017,89.4,Non-durable household goods,05.6.1,0,05
2017,108.5,Domestic services and household services,05.6.2,0,05
2017,101.6,Health,06,1,00
2017,100.0,"Medical products, appliances and equipment",06.1,0,06
2017,99.7,Pharmaceutical products,06.1.1,0,06
2017,101.3,"Other medical products, therapeutic appliances and equipment",06.1.2_3,0,06
2017,104.4,Out-patient services,06.2,0,06
2017,105.5,Medical services and paramedical services,06.2.1_3,0,06
2017,102.2,Dental services,06.2.2,0,06
2017,100.6,Hospital services,06.3,0,06
2017,98.6,Transport,07,1,00
2017,93.0,Purchase of vehicles,07.1,0,07
2017,92.9,Motor cars,07.1.1,0,07
2017,95.3,"Motor cycles, bicycles and animal drawn vehicles",07.1.2_3_4,0,07
2017,99.3,Operation of personal transport equipment,07.2,0,07
2017,99.1,Spare parts and accessories for personal transport equipment,07.2.1,0,07
2017,99.1,Fuels and lubricants for personal transport equipment,07.2.2,0,07
2017,100.6,Maintenance and repair of personal transport equipment,07.2.3,0,07
2017,100.6,Other services in respect of personal transport equipment,07.2.4,0,07
2017,106.9,Transport services,07.3,0,07
2017,103.9,Passenger transport by railway,07.3.1,0,07
2017,101.0,Passenger transport by road,07.3.2,0,07
2017,103.2,Passenger transport by air,07.3.3,0,07
2017,108.4,Passenger transport by sea and inland waterway,07.3.4,0,07
2017,102.4,Combined passenger transport,07.3.5,0,07
2017,103.2,Other purchased transport services,07.3.6,0,07
2017,98.6,Communications,08,1,00
2017,119.9,Postal services,08.1,0,08
2017,97.6,Telephone and telefax equipment and services,08.2_3,0,08
2017,97.0,Recreation and culture,09,1,00
2017,77.0,"Audio-visual, photographic and information processing equipment",09.1,0,09
2017,82.8,"Equipment for the reception, recording and reproduction of sound and picture",09.1.1,0,09
2017,56.5,Information processing equipment,09.1.3,0,09
2017,76.4,Recording media,09.1.4,0,09
2017,101.5,"Repair of audio-visual, photographic and information processing equipment",09.1.5,0,09
2017,102.1,Other major durables for recreation and culture,09.2,0,09
2017,102.1,Major durables for indoor and outdoor recreation including musical instruments,09.2.1_2,0,09
2017,85.6,"Other recreational items and equipment, gardens and pets",09.3,0,09
2017,81.0,"Games, toys and hobbies",09.3.1,0,09
2017,87.7,"Equipment for sport, camping and open-air recreation",09.3.2,0,09
2017,83.7,"Gardens, plants and flowers",09.3.3,0,09
2017,101.9,Pets and related products; veterinary and other services for pets,09.3.4_5,0,09
2017,103.4,Recreational and cultural services,09.4,0,09
2017,106.5,Recreational and sporting services,09.4.1,0,09
2017,102.2,Cultural services,09.4.2,0,09
2017,100.6,"Newspapers, books and stationery",09.5,0,09
2017,99.2,Books,09.5.1,0,09
2017,101.5,Newspapers and periodicals,09.5.2,0,09
2017,99.1,Miscellaneous printed matter; stationery and drawing materials,09.5.3_4,0,09
2017,103.9,Package holidays,09.6,0,09
2017,105.1,Education,10,1,00
2017,104.4,Restaurants and hotels,11,1,00
2017,102.8,Catering services,11.1,0,11
2017,102.9,"Restaurants, cafes and the like",11.1.1,0,11
2017,101.8,Canteens,11.1.2,0,11
2017,115.0,Accommodation services,11.2,0,11
2017,98.4,Miscellaneous goods and services,12,1,00
2017,93.7,Personal care,12.1,0,12
2017,101.5,Hairdressing salons and personal grooming establishments,12.1.1,0,12
2017,90.8,"Electrical appliances for personal care; other appliances, articles and products for personal care",12.1.2_3,0,12
2017,85.6,Personal effects n.e.c.,12.3,0,12
2017,95.8,"Jewellery, clocks and watches",12.3.1,0,12
2017,79.1,Other personal effects,12.3.2,0,12
2017,103.5,Social protection,12.4,0,12
2017,117.2,Insurance,12.5,0,12
2017,114.2,Insurance connected with the dwelling,12.5.2,0,12
2017,113.4,Insurance connected with health,12.5.3,0,12
2017,117.5,Insurance connected with transport,12.5.4,0,12
2017,101.0,Financial services n.e.c.,12.6,0,12
2017,101.8,Other services n.e.c.,12.7,0,12
2018,100.8,All-items HICP,00,1,00
2018,94.7,Food and non-alcoholic beverages,01,1,00
2018,94.5,Food,01.1,0,01
2018,92.9,Bread and cereals,01.1.1,0,01
2018,93.7,Meat,01.1.2,0,01
2018,94.0,Fish and seafood,01.1.3,0,01
2018,95.9,"Milk, cheese and eggs",01.1.4,0,01
2018,104.1,Oils and fats,01.1.5,0,01
2018,99.6,Fruit,01.1.6,0,01
2018,96.4,Vegetables,01.1.7,0,01
2018,89.0,"Sugar, jam, honey, chocolate and confectionery",01.1.8,0,01
2018,95.3,Food products n.e.c.,01.1.9,0,01
2018,95.8,Non-alcoholic beverages,01.2,0,01
2018,93.4,"Coffee, tea and cocoa",01.2.1,0,01
2018,96.4,"Mineral waters, soft drinks, fruit and vegetable juices",01.2.2,0,01
2018,105.1,"Alcoholic beverages, tobacco and narcotics",02,1,00
2018,91.7,Alcoholic beverages,02.1,0,02
2018,98.0,Spirits,02.1.1,0,02
2018,84.4,Wine,02.1.2,0,02
2018,99.3,Beer,02.1.3,0,02
2018,120.9,Tobacco,02.2,0,02
2018,91.9,Clothing and footwear,03,1,00
2018,92.9,Clothing,03.1,0,03
2018,92.5,Garments,03.1.2,0,03
2018,95.5,Other articles of clothing and clothing accessories,03.1.3,0,03
2018,103.1,"Cleaning, repair and hire of clothing",03.1.4,0,03
2018,87.5,Footwear,03.2,0,03
2018,111.3,"Housing, water, electricity, gas and other fuels",04,1,00
2018,123.4,Actual rentals for housing,04.1,0,04
2018,102.7,Maintenance and repair of the dwelling,04.3,0,04
2018,97.3,Materials for the maintenance and repair of the dwelling,04.3.1,0,04
2018,105.1,Services for the maintenance and repair of the dwelling,04.3.2,0,04
2018,71.5,Water supply and miscellaneous services relating to the dwelling,04.4,0,04
2018,101.2,Refuse collection,04.4.2,0,04
2018,104.9,Other services relating to the dwelling n.e.c.,04.4.4,0,04
2018,103.2,"Electricity, gas and other fuels",04.5,0,04
2018,102.3,Electricity,04.5.1,0,04
2018,100.2,Gas,04.5.2,0,04
2018,112.8,Liquid fuels,04.5.3,0,04
2018,100.0,Solid fuels,04.5.4,0,04
2018,89.1,"Furnishings, household equipment and routine household maintenance",05,1,00
2018,82.9,"Furniture and furnishings, carpets and other floor coverings",05.1,0,05
2018,82.8,Furniture and furnishings,05.1.1,0,05
2018,99.5,Carpets and other floor coverings,05.1.2,0,05
2018,81.0,Household textiles,05.2,0,05
2018,90.9,Household appliances,05.3,0,05
2018,90.2,Major household appliances whether electric or not and small electric household appliances,05.3.1_2,0,05
2018,101.4,Repair of household appliances,05.3.3,0,05
2018,87.0,"Glassware, tableware and household utensils",05.4,0,05
2018,91.2,Tools and equipment for house and garden,05.5,0,05
2018,94.5,Goods and services for routine household maintenance,05.6,0,05
2018,81.8,Non-durable household goods,05.6.1,0,05
2018,110.3,Domestic services and household services,05.6.2,0,05
2018,101.9,Health,06,1,00
2018,97.3,"Medical products, appliances and equipment",06.1,0,06
2018,96.3,Pharmaceutical products,06.1.1,0,06
2018,101.4,"Other medical products, therapeutic appliances and equipment",06.1.2_3,0,06
2018,106.1,Out-patient services,06.2,0,06
2018,107.2,Medical services and paramedical services,06.2.1_3,0,06
2018,104.1,Dental services,06.2.2,0,06
2018,100.9,Hospital services,06.3,0,06
2018,99.4,Transport,07,1,00
2018,91.6,Purchase of vehicles,07.1,0,07
2018,91.6,Motor cars,07.1.1,0,07
2018,92.3,"Motor cycles, bicycles and animal drawn vehicles",07.1.2_3_4,0,07
2018,104.1,Operation of personal transport equipment,07.2,0,07
2018,102.9,Spare parts and accessories for personal transport equipment,07.2.1,0,07
2018,105.6,Fuels and lubricants for personal transport equipment,07.2.2,0,07
2018,101.1,Maintenance and repair of personal transport equipment,07.2.3,0,07
2018,100.4,Other services in respect of personal transport equipment,07.2.4,0,07
2018,102.7,Transport services,07.3,0,07
2018,105.6,Passenger transport by railway,07.3.1,0,07
2018,102.9,Passenger transport by road,07.3.2,0,07
2018,94.8,Passenger transport by air,07.3.3,0,07
2018,111.6,Passenger transport by sea and inland waterway,07.3.4,0,07
2018,102.8,Combined passenger transport,07.3.5,0,07
2018,105.0,Other purchased transport services,07.3.6,0,07
2018,97.7,Communications,08,1,00
2018,128.0,Postal services,08.1,0,08
2018,96.4,Telephone and telefax equipment and services,08.2_3,0,08
2018,96.0,Recreation and culture,09,1,00
2018,67.8,"Audio-visual, photographic and information processing equipment",09.1,0,09
2018,71.3,"Equipment for the reception, recording and reproduction of sound and picture",09.1.1,0,09
2018,42.1,Information processing equipment,09.1.3,0,09
2018,76.9,Recording media,09.1.4,0,09
2018,102.6,"Repair of audio-visual, photographic and information processing equipment",09.1.5,0,09
2018,97.3,Other major durables for recreation and culture,09.2,0,09
2018,97.3,Major durables for indoor and outdoor recreation including musical instruments,09.2.1_2,0,09
2018,82.0,"Other recreational items and equipment, gardens and pets",09.3,0,09
2018,76.9,"Games, toys and hobbies",09.3.1,0,09
2018,76.9,"Equipment for sport, camping and open-air recreation",09.3.2,0,09
2018,81.6,"Gardens, plants and flowers",09.3.3,0,09
2018,101.7,Pets and related products; veterinary and other services for pets,09.3.4_5,0,09
2018,103.9,Recreational and cultural services,09.4,0,09
2018,109.8,Recreational and sporting services,09.4.1,0,09
2018,101.0,Cultural services,09.4.2,0,09
2018,102.2,"Newspapers, books and stationery",09.5,0,09
2018,102.0,Books,09.5.1,0,09
2018,104.6,Newspapers and periodicals,09.5.2,0,09
2018,97.6,Miscellaneous printed matter; stationery and drawing materials,09.5.3_4,0,09
2018,102.7,Package holidays,09.6,0,09
2018,106.7,Education,10,1,00
2018,106.6,Restaurants and hotels,11,1,00
2018,105.1,Catering services,11.1,0,11
2018,105.2,"Restaurants, cafes and the like",11.1.1,0,11
2018,102.2,Canteens,11.1.2,0,11
2018,116.2,Accommodation services,11.2,0,11
2018,96.2,Miscellaneous goods and services,12,1,00
2018,90.7,Personal care,12.1,0,12
2018,102.8,Hairdressing salons and personal grooming establishments,12.1.1,0,12
2018,85.8,"Electrical appliances for personal care; other appliances, articles and products for personal care",12.1.2_3,0,12
2018,80.8,Personal effects n.e.c.,12.3,0,12
2018,93.5,"Jewellery, clocks and watches",12.3.1,0,12
2018,72.4,Other personal effects,12.3.2,0,12
2018,105.3,Social protection,12.4,0,12
2018,111.3,Insurance,12.5,0,12
2018,116.4,Insurance connected with the dwelling,12.5.2,0,12
2018,108.9,Insurance connected with health,12.5.3,0,12
2018,107.3,Insurance connected with transport,12.5.4,0,12
2018,100.8,Financial services n.e.c.,12.6,0,12
2018,103.9,Other services n.e.c.,12.7,0,12
2019,101.7,All-items HICP,00,1,00
2019,94.0,Food and non-alcoholic beverages,01,1,00
2019,93.9,Food,01.1,0,01
2019,92.5,Bread and cereals,01.1.1,0,01
2019,92.8,Meat,01.1.2,0,01
2019,93.7,Fish and seafood,01.1.3,0,01
2019,95.0,"Milk, cheese and eggs",01.1.4,0,01
2019,103.7,Oils and fats,01.1.5,0,01
2019,98.7,Fruit,01.1.6,0,01
2019,97.7,Vegetables,01.1.7,0,01
2019,86.3,"Sugar, jam, honey, chocolate and confectionery",01.1.8,0,01
2019,94.2,Food products n.e.c.,01.1.9,0,01
2019,94.7,Non-alcoholic beverages,01.2,0,01
2019,91.4,"Coffee, tea and cocoa",01.2.1,0,01
2019,95.7,"Mineral waters, soft drinks, fruit and vegetable juices",01.2.2,0,01
2019,108.0,"Alcoholic beverages, tobacco and narcotics",02,1,00
2019,91.1,Alcoholic beverages,02.1,0,02
2019,96.9,Spirits,02.1.1,0,02
2019,83.3,Wine,02.1.2,0,02
2019,99.9,Beer,02.1.3,0,02
2019,128.8,Tobacco,02.2,0,02
